name,url
Portugal - AICEP Portugal Global,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/26b33723-5bc5-4e97-bbf5-0550fb74a0ab41"" "
inwink,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/d993fa2d-690b-45f9-bf9a-ae96209d5ce51"" "
MANPOWERGROUP,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/42334d49-d01d-454d-ad73-bb4212c843e71"" "
LVMH,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/ef1eaa8a-7bbd-4212-9f0a-eb4e22351fea51"" "
Maddyness,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/4913a30e-83a8-412f-a00c-ccd7edfcd07c1"" "
SOCIÉTÉ GÉNÉRALE,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/e8edce7c-c66c-4832-97f1-e1010c87d18041"" "
50inTech,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/f6a1e59d-4407-4608-9427-cdcbe6ea306b1"" "
The Adecco Group,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/652e5e6e-bc47-48bf-b361-936c493a88d31"" "
BOUYGUES,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/ae802651-0dc5-4f2f-8bd9-4552b62f7a001"" "
SALESFORCE,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/8c85b1f3-40dc-4648-8e0e-80f69decf6001"" "
Audi,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/aa6fde85-c9f4-4d6c-a33c-30732b5241f61"" "
Harvard Business Review France,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/f2a51601-78cd-404f-af35-6c808a02b81261"" "
BNP Paribas,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/3b1bbb16-2ded-4a1f-931f-3e9e0305e50c41"" "
LA POSTE GROUPE,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/866dbb24-7b0d-4a83-baa8-a2d3ec1f434f1"" "
EGYPT,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/fdfe7245-46cd-47e7-aa7a-ff3bdd4b1f801"" "
Région Occitanie - AD'OCC,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/da608a8b-8ac3-4a3c-9600-5353c358e6ee1"" "
KPMG,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/4000c1d7-4b1a-45ab-b4ab-657526dab8511"" "
PUBLICIS GROUPE,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/f5d5c1b2-e389-41fc-a82f-40e80d1384bc1"" "
RATP,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/5f3bfb57-9b84-4fce-96a9-8c1c2497a2f01"" "
DRC - Ministry of Digital,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/5cb9743e-04ad-4f7d-a517-ccfc59830d441"" "
SNCF,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/9da60470-0df2-4772-9b1f-566a91ce11311"" "
AXA,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/1215574d-a676-4628-b274-8a643bafc37e1"" "
CNRS,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/a85becb9-5c84-445c-933e-7b8f35bfdec61"" "
ENGIE,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/e3292b81-908f-4827-b80d-80f5d31b9eab1"" "
Région Île-de-France,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/04dd7a99-b3cd-4be3-8e5e-2a56c0712c621"" "
ORANGE,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/207e9a0c-a19d-43f6-af10-133a0882c70d1"" "
LE VILLAGE BY CA,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/ea5e7b95-a9e1-4715-b2cd-864d211e7f6f1"" "
WeWard,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/5dff63c6-3a18-40c1-8bea-4134098642461"" "
India- Country of the Year,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/17ede96b-6a1b-4cb3-8010-e39c844a9ce861"" "
Microsoft,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/7e9566f1-3978-4348-8c56-a9aabbad82521"" "
Amazon Web Services,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/f4bbb819-96e7-45f9-af9d-1202c40e0ebe1"" "
